breed_name,attention_score,Rank
Spaniels (Irish Water),2.60,6
Tibetan Spaniels,2.60,6
American Foxhounds,2.40,7
Anatolian Shepherd Dogs,2.40,7
Australian Terriers,2.40,7
Basenjis,2.40,7
Bedlington Terriers,2.40,7
Boston Terriers,2.40,7
Cavalier King Charles Spaniels,2.40,7
Dachshunds,2.40,7
Dandie Dinmont Terriers,2.40,7
Havanese,2.40,7
Japanese Chin,2.40,7
Lakeland Terriers,2.40,7
Maltese,2.40,7
Manchester Terriers,2.40,7
Norwegian Lundehunds,2.40,7
Pomeranians,2.40,7
Schipperkes,2.40,7
Shih Tzu,2.40,7
Silky Terriers,2.40,7
Sloughis,2.40,7
Whippets,2.40,7
Airedale Terriers,2.20,8
American English Coonhounds,2.20,8
Azawakhs,2.20,8
Barbets,2.20,8
Border Terriers,2.20,8
Cairn Terriers,2.20,8
Cesky Terriers,2.20,8
Chihuahuas,2.20,8
Greyhounds,2.20,8
Irish Terriers,2.20,8
Italian Greyhounds,2.20,8
Lhasa Apsos,2.20,8
Lowchen,2.20,8
Retrievers (Curly-Coated),2.20,8
Scottish Deerhounds,2.20,8
Spaniels (American Water),2.20,8
Xoloitzcuintli,2.20,8
American Staffordshire Terriers,2.00,9
Bergamasco Sheepdogs,2.00,9
Chinese Crested,2.00,9
American Hairless Terriers,1.80,10
Cirnechi dellâ€™Etna,1.80,10
Plott Hounds,0.00,11
